date,category,QSame,number,linMean,linSD,lin95Low,lin95Hi
1915,Global,-1,37.0,59.4505336989,1.03321770522,55.8056253363,63.431753022
1915,France,True,1.0,151.650969439,119.852768957,-12.4771166844,391.839841127
1915,Russia,True,1.0,-5.80622277001,29.266869632,-47.7280496812,51.5804311548
1915,USA,True,41.0,2.15567979887,26.2644589751,-39.98425053,54.0789380691
1915,Italy,False,1.0,-2.18557033868,33.4457717329,-47.9264427177,61.0443003179
1915,UK,False,2.0,22.3903873254,39.2384119065,-37.1571077874,99.1309103401
1915,USA,False,69.0,2.52409161786,15.3754529508,-25.1203843853,33.2652505095
1915,French,True,1.0,149.228731975,116.77413314,-13.9243773001,384.844216593
1915,Russian,True,1.0,-4.72841317188,30.4550875537,-47.6481255371,56.5878395302
1915,English,True,41.0,-5.48014396295,23.2622939672,-42.1284861263,41.5483129883
1915,Italian,False,1.0,-2.05561836166,32.6160432633,-47.2463587878,62.4442357076
1915,English,False,71.0,7.76080132566,16.2476781849,-22.0510984708,39.3803701829
1915,Family,True,1.0,7.65564083445,40.6046409814,-48.2206692546,86.9525416927
1915,Mystery,True,1.0,24.3765486834,52.9029300763,-45.2896638572,128.613881575
1915,Sci-Fi,True,1.0,64.9999658802,76.4833879818,-35.0135271058,212.353900766
1915,Action,True,2.0,25.9671634343,53.6281576909,-43.0171344672,132.372460253
1915,Biography,True,2.0,16.2822953656,46.4697831741,-45.6162685962,105.665105651
1915,Fantasy,True,2.0,4.39748318839,34.0975295515,-43.9879169146,71.3087005811
1915,Thriller,True,2.0,24.0467536854,52.2840849537,-45.2752815675,126.519436159
1915,History,True,3.0,24.038366183,50.4542160771,-44.7832818745,121.117219395
1915,War,True,3.0,21.1136489413,47.65531542,-42.9853332893,116.100178174
1915,Crime,True,4.0,16.8352932065,43.5925693731,-43.3594109705,102.856750585
1915,Adventure,True,6.0,17.7478187189,42.5345220753,-44.6683867863,101.530577747
1915,Comedy,True,6.0,-1.44858012212,28.0123066766,-44.1176917175,53.6315759206
1915,Western,True,6.0,16.9157119272,38.2717932393,-40.1116674233,92.4102814439
1915,Romance,True,8.0,5.70815681112,33.2107452141,-43.5083801908,70.9488511396
1915,Drama,True,33.0,29.1450296757,27.4092386147,-16.6113776846,83.7412802887
1915,Horror,False,1.0,16.6533810238,39.2864519502,-41.8876386001,95.9762824133
1915,Action,False,2.0,11.9919423642,44.9560635518,-46.9857441114,100.695409166
1915,Mystery,False,3.0,50.9214402201,56.5751109965,-34.4028368882,161.781827853
1915,War,False,3.0,14.9770860546,42.3774884625,-44.3799082671,97.6780832606
1915,Crime,False,4.0,0.996419263871,34.1363317306,-46.212107064,70.221497456
1915,History,False,4.0,7.27837421986,37.2536889984,-45.4224636445,79.5877022018
1915,Adventure,False,6.0,164.881107528,113.896800962,-4.20838556005,397.839415415
1915,Western,False,6.0,-5.51167720557,23.4276564002,-41.6377586788,41.1938868391
1915,Romance,False,7.0,8.16986485884,35.847557082,-42.9786366479,78.3622770596
1915,Comedy,False,13.0,-7.59768050445,15.8714743531,-35.1071020494,24.3672049966
1915,Drama,False,53.0,-18.1792862567,8.79952944512,-34.2584130502,-0.460235533146
1916,Global,-1,42.0,58.643898075,1.02334173401,56.0363158062,61.3130525366
1916,France,True,1.0,143.939770472,110.100767947,-12.2200836372,361.867942125
1916,Germany,True,1.0,7.87052429414,36.1269624063,-43.39874979,79.5237220419
1916,UK,True,2.0,4.17907986746,29.0354354332,-40.3164892387,62.4394746069
1916,Russia,True,3.0,35.66542227,41.9298666389,-29.9670395601,119.741783356
1916,USA,True,30.0,21.8750121152,31.9546781723,-31.1085843792,83.72833969
1916,UK,False,2.0,45.9874144898,44.6672163743,-22.7373333429,135.489597459
1916,Germany,False,3.0,15.1890290998,36.4075426919,-39.2556146185,85.9932511543
1916,USA,False,109.0,-5.24832612013,5.88585256929,-16.6407134047,6.31815253745
1916,French,True,1.0,139.458599778,105.465591219,-13.5469972141,348.731079844
1916,Georgian,True,1.0,31.3449537575,47.3483296255,-35.8043729389,126.379739046
1916,German,True,1.0,7.03343665945,34.7769226035,-42.7985326869,75.228990746
1916,Russian,True,2.0,13.5548635862,35.8023695315,-38.9091513568,85.0749469659
1916,English,True,32.0,9.2738880387,27.2719621538,-34.7386584166,63.1703679292
1916,German,False,3.0,16.1551855008,35.8508951421,-38.7847315849,85.804941297
1916,English,False,111.0,-1.87055337042,6.46156953264,-14.1915619303,10.7665809601
1916,Action,True,1.0,24.1655227056,52.2780336907,-45.5030995971,125.355772467
1916,Fantasy,True,1.0,10.1022965864,44.4383343443,-47.6472579674,97.3543218009
1916,Horror,True,1.0,10.1622319983,43.0360340932,-48.0636715016,95.0519503667
1916,Thriller,True,1.0,14.1076730107,46.3854446775,-47.6738940747,100.277136587
1916,Crime,True,2.0,61.2959869901,69.7877010806,-34.7771338779,199.243363973
1916,Sci-Fi,True,2.0,27.1252420497,50.2367686101,-42.3764896373,125.953767769
1916,War,True,2.0,34.0099883376,54.8311889677,-41.1178094072,143.106088479
1916,Adventure,True,3.0,60.2315908926,65.1007703067,-33.9014029485,185.760157008
1916,History,True,4.0,37.6861773753,50.2426690172,-37.086875714,134.270477836
1916,Western,True,4.0,191.868820548,119.810615422,11.5380104491,427.062638123
1916,Comedy,True,7.0,-21.2686547799,17.512180043,-48.2848365073,13.0674468827
1916,Romance,True,9.0,7.27294866968,29.4057022365,-37.7496261421,67.4095932973
1916,Drama,True,27.0,-16.3036748837,13.2472805466,-38.3924578078,11.1250393037
